VARIABLES="X""Y""dispX""dispY""sigmaxx""sigmayy""sigmaxy"
0 -0.5 -0 -4.5e-07 -1.2e+06 0 0
0.1 -0.5 -6e-07 -5.1e-07 -1.2e+06 0 0
0.2 -0.5 -1.2e-06 -6.9e-07 -1.2e+06 0 0
0.3 -0.5 -1.8e-06 -9.9e-07 -1.2e+06 0 0
0.4 -0.5 -2.4e-06 -1.41e-06 -1.2e+06 0 0
0.5 -0.5 -3e-06 -1.95e-06 -1.2e+06 0 0
0.6 -0.5 -3.6e-06 -2.61e-06 -1.2e+06 0 0
0.7 -0.5 -4.2e-06 -3.39e-06 -1.2e+06 0 0
0.8 -0.5 -4.8e-06 -4.29e-06 -1.2e+06 0 0
0.9 -0.5 -5.4e-06 -5.31e-06 -1.2e+06 0 0
1 -0.5 -6e-06 -6.45e-06 -1.2e+06 0 0
1.1 -0.5 -6.6e-06 -7.71e-06 -1.2e+06 0 0
1.2 -0.5 -7.2e-06 -9.09e-06 -1.2e+06 0 0
1.3 -0.5 -7.8e-06 -1.059e-05 -1.2e+06 0 0
1.4 -0.5 -8.4e-06 -1.221e-05 -1.2e+06 0 0
1.5 -0.5 -9e-06 -1.395e-05 -1.2e+06 0 0
1.6 -0.5 -9.6e-06 -1.581e-05 -1.2e+06 0 0
1.7 -0.5 -1.02e-05 -1.779e-05 -1.2e+06 0 0
1.8 -0.5 -1.08e-05 -1.989e-05 -1.2e+06 0 0
1.9 -0.5 -1.14e-05 -2.211e-05 -1.2e+06 0 0
2 -0.5 -1.2e-05 -2.445e-05 -1.2e+06 0 0
0 -0.4 -0 -2.88e-07 -960000 0 0
0.1 -0.4 -4.8e-07 -3.48e-07 -960000 0 0
0.2 -0.4 -9.6e-07 -5.28e-07 -960000 0 0
0.3 -0.4 -1.44e-06 -8.28e-07 -960000 0 0
0.4 -0.4 -1.92e-06 -1.248e-06 -960000 0 0
0.5 -0.4 -2.4e-06 -1.788e-06 -960000 0 0
0.6 -0.4 -2.88e-06 -2.448e-06 -960000 0 0
0.7 -0.4 -3.36e-06 -3.228e-06 -960000 0 0
0.8 -0.4 -3.84e-06 -4.128e-06 -960000 0 0
0.9 -0.4 -4.32e-06 -5.148e-06 -960000 0 0
1 -0.4 -4.8e-06 -6.288e-06 -960000 0 0
1.1 -0.4 -5.28e-06 -7.548e-06 -960000 0 0
1.2 -0.4 -5.76e-06 -8.928e-06 -960000 0 0
1.3 -0.4 -6.24e-06 -1.0428e-05 -960000 0 0
1.4 -0.4 -6.72e-06 -1.2048e-05 -960000 0 0
1.5 -0.4 -7.2e-06 -1.3788e-05 -960000 0 0
1.6 -0.4 -7.68e-06 -1.5648e-05 -960000 0 0
1.7 -0.4 -8.16e-06 -1.7628e-05 -960000 0 0
1.8 -0.4 -8.64e-06 -1.9728e-05 -960000 0 0
1.9 -0.4 -9.12e-06 -2.1948e-05 -960000 0 0
2 -0.4 -9.6e-06 -2.4288e-05 -960000 0 0
0 -0.3 -0 -1.62e-07 -720000 0 0
