VARIABLES="X""Y""NumberOfNumber"
0.5 0 2
0.498292 0.0412897 3
0.493181 0.0822973 4
0.4847 0.122743 4
0.472909 0.16235 4
0.457887 0.200848 4
0.439737 0.237974 4
0.418583 0.273474 4
0.39457 0.307106 4
0.367862 0.338641 3
0.338641 0.367862 3
0.307106 0.39457 4
0.273474 0.418583 4
0.237974 0.439737 4
0.200848 0.457887 4
0.16235 0.472909 4
0.122743 0.4847 4
0.0822973 0.493181 4
0.0412897 0.498292 3
0 0.5 2
0.55 0 3
0.548462 0.0411016 4
0.543857 0.0819732 5
0.53621 0.122387 6
0.525565 0.162115 6
0.511981 0.200938 6
0.495533 0.238636 6
0.476314 0.275 6
0.454431 0.309826 6
0.430007 0.342919 4
0.403179 0.374095 4
0.374095 0.403179 4
0.342919 0.430007 4
0.309826 0.454431 6
0.275 0.476314 6
0.238636 0.495533 6
0.200938 0.511981 6
0.162115 0.525565 6
0.122387 0.53621 6
0.0819733 0.543857 5
0.0411016 0.548462 4
0 0.55 3
0.6 0 3
0.598601 0.0409454 4
0.594412 0.0817 5
0.58745 0.122074 6
0.57775 0.161878 6
0.565357 0.200928 6
0.550327 0.239041 6
0.532731 0.276039 6
0.512652 0.31175 6
0.490182 0.346008 5
0.465427 0.378653 4
0.438502 0.409532 4
0.409532 0.438502 4
0.378653 0.465427 4
0.346008 0.490182 5
0.31175 0.512652 6
0.276039 0.532731 6
0.239041 0.550327 6
0.200928 0.565357 6
0.161878 0.57775 6
0.122074 0.58745 6
0.0817 0.594412 5
0.0409455 0.598601 4
0 0.6 3
0.65 0 3
0.648717 0.0408138 4
0.644875 0.0814666 5
0.638487 0.121798 6
0.629579 0.161648 6
0.618187 0.200861 6
0.604355 0.239281 6
0.588138 0.276757 6
0.569599 0.31314 6
0.548813 0.348287 6
0.525861 0.38206 5
0.500834 0.414326 4
0.47383 0.444956 4
0.444956 0.47383 4
0.414326 0.500834 4
0.38206 0.525861 5
0.348287 0.548813 6
0.31314 0.569599 6
0.276757 0.588138 6
0.239281 0.604355 6
0.200861 0.618187 6
0.161648 0.629579 6
0.121798 0.638487 6
0.0814666 0.644875 5
0.0408139 0.648717 4
0 0.65 3
0.7 0 3
0.698816 0.0407014 4
0.695267 0.081265 4
0.689365 0.121554 6
0.681131 0.161431 6
0.670593 0.200762 6
0.657785 0.239414 6
0.642751 0.277256 6
0.625543 0.314159 6
0.606218 0.35 6
0.584841 0.384656 6
0.561486 0.418011 5
0.536231 0.449951 4
0.509162 0.480369 4
0.480369 0.509162 4
0.449951 0.536231 4
0.418011 0.561486 5
0.384656 0.584841 6
0.35 0.606218 6
0.314159 0.625543 6
0.277256 0.642751 6
0.239414 0.657785 6
0.200762 0.670593 6
0.161431 0.681131 6
0.121554 0.689365 6
0.0812651 0.695267 4
0.0407014 0.698816 4
0 0.7 3
0.75 0 3
0.7489 0.0406042 4
0.745603 0.0810893 4
0.74012 0.121336 5
0.732465 0.161228 6
0.722662 0.200646 6
0.71074 0.239476 6
0.696733 0.277604 6
0.680682 0.314917 6
0.662634 0.351306 6
0.642643 0.386665 6
0.620767 0.42089 6
0.59707 0.453881 5
0.571622 0.48554 4
0.544497 0.515775 4
0.515775 0.544497 4
0.48554 0.571622 4
0.453881 0.59707 5
0.42089 0.620767 6
0.386665 0.642643 6
0.351306 0.662634 6
0.314917 0.680682 6
0.277604 0.696733 6
0.239476 0.71074 6
0.200646 0.722662 6
0.161228 0.732465 6
0.121337 0.74012 5
0.0810893 0.745603 4
0.0406042 0.7489 4
0 0.75 3
0.8 0 3
0.798973 0.0405193 4
0.795895 0.0809347 4
0.790775 0.121142 5
0.783624 0.161039 6
0.774462 0.200522 6
0.763311 0.23949 6
0.750202 0.277844 6
0.735166 0.315485 6
0.718244 0.352315 6
0.699477 0.388242 6
0.678915 0.423171 6
0.656611 0.457015 6
0.632621 0.489685 5
0.607007 0.521098 4
0.579834 0.551174 4
0.551174 0.579834 4
0.521098 0.607006 4
0.489685 0.632621 5
0.457015 0.656611 6
0.423171 0.678915 6
0.388242 0.699477 6
0.352315 0.718244 6
0.315485 0.735166 6
0.277844 0.750202 6
0.239491 0.763311 6
0.200522 0.774462 6
0.161039 0.783624 6
0.121142 0.790775 5
0.0809347 0.795895 4
0.0405194 0.798973 4
0 0.8 3
0.85 0 3
